content,label,has_url,has_phone_number,sender_type
[MB BANK] Tai'kh.oan_cua:Quy;khach'dang;bi;khoa.Truy'cap:mbbank.vn-ki.top'truoc;22h;de'mo;khoa,1,1,0,brandname
(MB BANK) Luu'y:Dich_vu_MB_D1g1bank;se;bi_ngung;vinh_vien. Xac;thuc:ngay:tai:mbbank.com.vn-ss.top;trong;10;phut,1,1,0,brandname
[MB BANK] He;thong_tam;ngung;the;cua;ban. Dang:nhap:mbbank.vn-portal.top;de;kich;hoat;lai;truoc;19h;hom;nay,1,1,0,brandname
MB BANK: Canh;bao_bao_mat_cao. Tai_khoan_bi_de_doa. Truy;cap:mbbank.vn-secure.top;de;bao_ve;tai_san_ngay,1,1,0,brandname
MBBANK_Luu_y:Ma_vach_dinh_danh_bi_loi. Vui;long;cap_nhat_tai:mbbank.vn-ip.net;truoc_20h;de_tranh_bi_khoa,1,1,0,brandname
MB BANK: Phat_hien;giao_dich_bat_thuong_50_trieu. Huy_bo;tai:mbbank-online.cc;ngay_lap_tuc;trong_5_phut,1,1,0,brandname
MBBANK_Notice: Abn0rmal_l0gin_detected! Please_verify_at:mbbank.cc-safe.top;to_pr0tect_your_balance_now,1,1,0,brandname
MB_Bank: Thong_bao;ngu_ngon_dich_vu_Mobile_Banking. Kich_hoat_lai_tai:mbbank-online.biz;truoc_12h_dem,1,1,0,brandname
MBBANK_Alert: Tai_khoan_tam_khoa_vi_ly_do_bao_mat. Xac_thuc_tai:mbbank.com.vn-web.top;trong_vong_30_phut,1,1,0,brandname
MB_Bank_Security: Phat_hien_yeu_cau_rut_toan_bo_tien. Huy_ngay:mbbank.vn-secure.cc;neu_khong_phai_ban,1,1,0,brandname
MBBANK_T.Bao: Han_muc_giao_dich_dang_bi_gioi_han. Nang_cap_tai:mbbank.vn-limit.top;truoc_khi_bi_dinh_chi,1,1,0,brandname
MB_Bank: Phat_hien_dang_nhap_tai_vi_tri_la. Xac_thuc_danh_tinh_tai:mbbank.vn-loc.top;ngay_bay_gio,1,1,0,brandname
MBBANK_Notice: He_thong_dang_nang_cap_bao_mat. Quy_khach_can_dang_nhap:mbbank.vn-fix.top;de_bao_tri_vi,1,1,0,brandname
[MB BANK] Canh_bao: Tai_khoan_bi_dang_nhap_tren_Chromebook. Huy_truy_cap_tai:mbbank.cc-auth.top;ngay,1,1,0,brandname
MB_Bank_Security: Your_balance_is_at_risk! Please_secure_your_account_at:mbbank.vn-safe.biz_immediately,1,1,0,brandname
(MB BANK) Thong_bao: Khoa_chieu_chuyen_tien_di. Mo_khoa_tai:mbbank-online.info;truoc_20h_ngay_hom_nay,1,1,0,brandname
MBBANK_Alert: Phat_hien_truy_cap_tu_thiet_bi_iPhone_15. Neu_khong_phai_ban_bam:mbbank.vn-check.top;de_huy,1,1,0,brandname
[MB BANK] Tai_khoan_ngung_hoat_dong_sau_15_phut_nua. Dang_nhap:mbbank.cc-active.top;de_duy_tri_dich_vu,1,1,0,brandname
MB_Bank: Thong_bao_thay_doi_SĐT_lien_ket. Neu_khong_phai_ban_vui_long_huy_tai:mbbank.vn-update.top;gap,1,1,0,brandname
(MB BANK) Tai_khoan_bi_tam_ngung_vi_ly_do_xac_thuc. Vui_long_truy_cap:mbbank-online.xyz;de_mo_lai,1,1,0,brandname
MBBANK_Notice: Giao_dich_cho_duyet_15_000_000VND. Huy_bo_ngay_tai:mbbank.vn-pay.top;de_tranh_bi_tru_tien,1,1,0,brandname
[MB BANK] Canh_bao_ru_ro: Tai_khoan_dang_bi_tan_cong. Dang_nhap:mbbank.cc-protect.top;de_bao_mat_ngay,1,1,0,brandname
MB_Bank: He_thong_phat_hien_loi_bao_mat_Smart_OTP. Vui_long_cai_dat_lai_tai:mbbank.vn-otp.top;truoc_22h,1,1,0,brandname
(MB BANK) Luu_y: Diem_thuong_sap_het_han_va_khoa_tai_khoan. Doi_qua_tai:mbbank-online.top;de_tiep_tuc_dung,1,1,0,brandname
MBBANK_Urgent: Phat_hien_dang_nhap_tu_IP_103.21.2.5. Truy_cap:mbbank.vn-ip.biz;de_chan_truy_cap_la,1,1,0,brandname
[MB BANK] Thong_bao_khoa_vinh_vien_sau_2_gio. Vui_long_xac_thuc_danh_tinh_tai:mbbank.cc-verify.me;ngay,1,1,0,brandname
MB_Bank_Security: Unusual_activity_detected. Verify_identity_at:mbbank.vn-id.top;to_avoid_account_closure,1,1,0,brandname
(MB BANK) Tai_khoan_bi_tam_khoa_do_nhap_sai_ma_PIN. Truy_cap:mbbank-online.club;de_khoi_phuc_ngay,1,1,0,brandname
"Jai tri 2Q: Zan ky nhan 558k. Nap 50k nhan 150k, 1 vong cuoc rut MAXX 10.000k. No Hu-Ban Ca. DK: t.ly/mK8z2 QwErT",1,1,0,personal_number
"Tai app 2Q tang 199k, x3 nap zau, rut ngay ko can nap, choi TLMN, X.oc-D.ia, N.ohu... Click: https://axz12.cc/vP0mLn",1,1,0,personal_number
"Jai tri 2Q uu dai lon. Baccarat truc tiep, choi ga, xo so. Gui va rut trong 5 fhut, CSKH 24/24. Link: h82nz.com",1,1,0,personal_number
"2Q tuyen dai ly hoa hong 55%, ck cao, ho tro 24/7, lien he zalo: 0398712345. Link: https://m88zk.vip",1,1,1,shortcode
"Zan ky 2Q +88k fhat loc! Nap 100k nhan 300k, 1 vong cuoc la rut MAXX 15.000k. No Hu. Ban Ca. BCR... DK: t.ly/vJ9a3 ZnReS",1,1,0,personal_number
"G.em moi 2Q tang ban 250k khi tai app, x3 nap zau, rut ngay, choi TLMN, X.oc-D.ia, N.ohu...v9bet. click: https://k7z2p.tech/8UyXmN",1,1,0,personal_number
"Chao mung ban den Jai tri 2Q tang ngay 68-888K khi zan ky tai: p92kk.com, CSKH ho tro 24/24. Baccarat, choi ga, the thao, xo so. Giao zich 3 fhut",1,1,0,personal_number
"Dai ly 2Q tuyen si hoa hong den 50%, thanh toan minh bach, lien he zalo Van: 0945123888 Link: https://z98az.bet",1,1,1,shortcode
"2Q th0ng b4o: Nap 50k nhan 200k, chi 1 vong cuoc rut MAXX 5.000k. No Hu. Ban Ca. Quay hu... Link: t.ly/pL2w5 XmNqZ",1,1,0,personal_number
"Sieu ung zung 2Q tang 150k khi tai app, x3 nap zau, choi game N.oH.u, T.LM.N, B.C.R... cuc muot. Link: https://b7v2x.cc/7TgYhJ",1,1,0,personal_number
"Jai tri 2Q uy tin: Baccarat truc tiep, choi ga, xo so. Nap rut tu zon trong 2 fhut, CSKH 24/24. Truy cap: f91zz.com",1,1,0,personal_number
"Lam giau cung 2Q, tuyen dai ly hoa hong cuc khung 60%, zalo ho tro: 0322456789. Link: https://k22vv.vip",1,1,1,shortcode
"Zan ky 2Q nhan ngay 128k free. Nap 50k nhan 188k, 1 vong cuoc rut MAXX 20.000k. Ban Ca, No Hu. Link: t.ly/qM5n8 BtRzW",1,1,0,personal_number
"App 2Q moi nhat, tang 300k trai nghiem, x3 nap zau, choi X.oc-D.ia, N.ohu, T.LMN... Link: https://n11mm.tech/3WqPxL",1,1,0,personal_number
"He thong Jai tri 2Q: Baccarat, choi ga, dien tu, xo so. Gui va rut tien trong 3 fhut, bao mat tuyet zoi. Link: g77aa.com",1,1,0,personal_number
"Hop tac dai ly 2Q nhan hoa hong 45% moi thang, zalo: 0988123456. Dang ky ngay tai: https://r55tt.bet",1,1,1,shortcode
"2Q fhat loc: Tang 558k khi zan ky. Nap 20k nhan 100k, 1 vong cuoc rut MAXX 9.999k. No Hu, Ban Ca. Link: t.ly/zK1p4 LkJiH",1,1,0,personal_number
"Tai game 2Q nhan code 200k, x3 nap zau cho tan thu, choi N.o-H.u, X.oc-D.ia... cuc de. Link: https://w88ss.cc/9PlOkM",1,1,0,personal_number
"Jai tri 2Q dang cap: Baccarat live, choi ga, the thao. Rut tien trong 1 fhut, ho tro 24/24. Link: v22nn.com",1,1,0,personal_number
"Tuyen dai ly 2Q chiet khau 50%, kiem tien trieu moi ngay, zalo: 0355987654. Link: https://j99bb.vip",1,1,1,shortcode
"Jai tri 2Q thong bao: Tang 100k trai nghiem. Nap 50k nhan 150k, 1 vong woc rut MAXX. No Hu, Ban Ca. Link: t.ly/hT6r2 MnBvC",1,1,0,personal_number
"Update 2Q tang 288k khi tai app, x3 nap zau, choi game dot-insert N.oH.u, T.LMN, X.D... Link: https://c44xx.tech/2ZaQxS",1,1,0,personal_number
"San choi Jai tri 2Q: Baccarat truc tiep, choi ga, xo so. Giao zich sieu toc 3 fhut, CSKH tan tam. Link: m33kk.com",1,1,0,personal_number
"Tuyen dai ly 2Q hoa hong 65%, thanh toan tuan, zalo: 0909123456. Link dang ky: https://u77ii.bet",1,1,1,shortcode
"Zan ky 2Q + 666k. Nap 50k nhan 200k, 1 vong woc rut MAXX 12.000k. No Hu, Ban Ca, BCR... Link: t.ly/rE4w9 PoIuY",1,1,0,personal_number
"2Q phien ban moi tang 188k, x3 nap zau, rut ngay ko can doi, choi X.oc-D.ia, N.ohu... Link: https://e22ww.cc/5RfVtG",1,1,0,personal_number
"Jai tri 2Q: Baccarat live, choi ga, xo so, the thao. Gui rut trong 2 fhut, uy tin so 1. Link: x11cc.com",1,1,0,personal_number
"Kiem tien cung 2Q, dai ly hoa hong 50%, ho tro marketing, zalo: 0377456123. Link: https://y33hh.vip",1,1,1,shortcode
"Zan ky 2Q nhan 888k loc fat. Nap 100k nhan 400k, 1 vong cuoc rut MAXX. Ban Ca, No Hu. Link: t.ly/tY3u1 GfDsA",1,1,0,personal_number
"Tai app 2Q rinh ngay 250k, x3 nap zau, choi game N.o-H.u, T.L-M.N... cuc hot. Link: https://q66aa.tech/4EdCrF",1,1,0,personal_number
"He thong Jai tri 2Q chuyen nghiep: Baccarat, choi ga, xo so. Rut tien 3 fhut, ho tro 24/7. Link: k44ll.com",1,1,0,personal_number
"2Q tuyen dai ly toan quoc, hoa hong 55%, zalo tu van: 0922789456. Link: https://i88oo.bet",1,1,1,shortcode
"Zan ky 2Q nhan ngay code 100k. Nap 50k nhan 150k, rut MAXX 8.888k. No Hu, Ban Ca, BCR. Link: t.ly/vB2m7 HhJjK",1,1,0,personal_number
"Ung zung 2Q tang 299k khi tai app, x3 nap zau, choi game X.oc-D.ia, N.ohu... Link: https://s55dd.cc/1QaWsX",1,1,0,personal_number
"Jai tri 2Q: Baccarat truc tiep, choi ga, xo so. Giao zich nap rut 2 fhut, an toan. Link: l99pp.com",1,1,0,personal_number
"Dai ly 2Q hoa hong 60%, thu nhap khung, zalo ho tro: 0344123789. Link: https://p22oo.vip",1,1,1,shortcode
"Zan ky 2Q +558k. Nap 50k nhan 108k, 1 vong woc rut MAXX 10.000k. No Hu, Ban Ca. Link: t.ly/fG8h2 ZxCcV",1,1,0,personal_number
"App 2Q tang 150k, x3 nap zau, rut tien mat ngay, choi TLMN, X.oc-D.ia, N.ohu... Link: https://z33mm.tech/6YhTgB",1,1,0,personal_number
"Jai tri 2Q uy tin: Baccarat, choi ga, dien tu, xo so. Gui rut 3 fhut, CSKH 24/24. Link: a55ss.com",1,1,0,personal_number
"Tuyen dai ly 2Q hoa hong 50%, lam giau khong kho, zalo: 0911456321. Link: https://o88ii.bet",1,1,1,shortcode
"CANH BAO LAN CUOI!!! Onq Nguyen Van Hoanq CMND: 025847193 fhai thanh toan 7,341,200VNZ truoc 16H Nqay 12/04. Bat hop tac se conq khai hjnh anh va thonq bao jia zinh, qhi no xau CIC. LH ZA.LO 0947281536 qap Tran Van Nam.",1,0,1,personal_number
"[CANH CAO LAN CUOI]: Ba Le Thi Thu CCCD: 046092003847 fhai thanh toan khoan vay 15,243,900VNZ truoc 17g hom nay. Neu khonq, fhonq fhap ly se lam vjec voj co wan conq tac va jia zinh. LH: 0384719205.",1,0,1,personal_number
"TB KHAN: Onq Tran Minh Zuy CMND: 191837462 con no 3,456,700VNZ. Han chot 24H nua de thanh toan hoac ho so se chuyen sanq Bo fhan thit no cuonq che taj nha va bjen ban hjen trunq. LH: 0912837465 de ho tro.",1,0,1,personal_number
"CANH BAO LAN CUOI!!! Onq Pham Hoanq Nam CCCD: 079085002143 fhai hoan tat 22,819,400VNZ truoc 16H Nqay 20/05. Vj fhat cham thanh toan se bj njem fhonq taj san va qhi no xau CIC nhom 5. LH: 0903847162.",1,0,1,personal_number
"[CANH CAO LAN CUOI]: Ba Zanq Thu Thao CMND: 182736459 bat hop tac thanh toan 9,124,500VNZ. Chung toj se conq khai thonq tjn len manq xa hoj va qwj zjnh fhap luat ve hanh vj luanq luan chiem zoat. LH: 0355461728.",1,0,1,personal_number
"TB KHAN: Onq Vo Minh Tu CCCD: 031094002817 fhai thanh toan 41,562,300VNZ truoc 17g hom nay. Ho so cua Onq se bj truy to hjnh su neu tiep tuc tron tranh trach nhjem. Lien he ZA.LO 0988273645 gap can bo thu no.",1,0,1,personal_number
"CANH BAO LAN CUOI!!! Onq Zoan Van Hau CMND: 281736452 no 6,215,800VNZ. Trong 24H nua khonq thanh toan, chung toj se thonq bao den toan bo ban be tren Zanh ba va fhonq toa the nqan hanq. LH: 0977123456.",1,0,1,personal_number
"[CANH CAO LAN CUOI]: Ba Buj Thi Xuan CCCD: 038091004726 fhai zap unq 11,347,000VNZ truoc 16H Nqay 15/05. Co wan chuc nanq se cuoi cuoq vao cuoc zjieu tra hanh vj lam zunq tjn nhjem. LH: 0344918273.",1,0,1,personal_number
"TB KHAN: Onq Ly Haj Nam CMND: 241526374 con no 5,678,200VNZ. Bat hop tac thanh toan se bj bo fhan thu ho no den tan nha va noi lam vjec de zaj wuyet. Han chot 17g hom nay. LH: 0911827364.",1,0,1,personal_number
"CANH BAO LAN CUOI!!! Onq Nqo Wuoc Bao CCCD: 064093001827 fhai thanh toan 33,412,900VNZ truoc 24H. Chung toj se jao hjnh anh cho nquoj than va fhonq toa ho so CIC toan wuoc. LH ZALO 0966374829.",1,0,1,personal_number
"[CANH CAO LAN CUOI]: Ba Trinh Kim Chi CMND: 172635489 no 4,921,500VNZ. Yeu cau thanh toan truoc 16H Nqay 18/05 de tranh vjec bj beu ten len cac tranq manq xa hoj va zjieu tra hjnh su. LH: 0399485716.",1,0,1,personal_number
"TB KHAN: Onq fhan Thanh Binh CCCD: 052095003641 fhai hoan tat 19,827,400VNZ truoc 17g hom nay. Bo fhan fhap ly se lam vjec voj chjnh wuyen zjza fhunq ve khoan no nay. LH: 0933847125.",1,0,1,personal_number
