content,label,has_url,has_phone_number,sender_type
"[789BET] Chao mung ban tro lai! Nhan ngay 88k trai nghiem tai 789bet.vIp. Nh4n ngay keo het han!",1,1,0,'brandname'
"Tai khoan 789Bet cua quy khach bi tam khoa do nghi ngo gian lan. Vui long xac thuc tai: 789bet.c0m de mo lai.",1,1,0,'brandname'
"789BET: Tang code 50k cho l0gin hom nay. Link nhan: 789bet-vn.nét. LH hotIine 0345678912",1,1,1,'personal_number'
"[789BET] Thong bao: Ban trung thuong SH 150i tu vong quay may man. Chi tiet tai: 789bet.t0p",1,1,0,'brandname'
"Ban co 1 yeu cau rut tien 20.000.000d dang cho. Xac nhan tai 789-bet.cIub truoc khi bi huy.",1,1,0,'shortcode'
"789BET - Sieu khuyen mai nap 1 duoc 2 duy nhat hom nay. Truy cap lIink: 789bet88.vIp",1,1,0,'brandname'
"He thong phat hien truy cap la vao tk 789Bet. Click vao 789bet.c0m.vn de doi mat khau ngay!",1,1,0,'brandname'
"(789BET) Tang cuoc mien phi 100k cho sdt 098xxxxxxx. Dang ky tai: 789bet.me/l0gin",1,1,1,'personal_number'
"Ban nhan duoc 1 li xi 588k tu 789BET. Nhap ma '789' tai 789bet.c0m de nhan thuong.",1,1,0,'shortcode'
"[789BET] Canh bao: Tai khoan cua ban se bi xoa sau 24h neu khong xac minh tai 789bet.vI p",1,1,0,'brandname'
"Chuc mung ban tro thanh VIP 789BET. Nhan qua tri an tai: 789bet-cIub.com",1,1,0,'brandname'
"789BET thong bao: So du tk cua ban +2.500.000d. Kiem tra ngay tai 789bet.t0p",1,1,0,'brandname'
"Uu dai 789BET: Hoan tra 3.5% moi ngay khong gioi han. Tham gia ngay: 789bet.vI p",1,1,0,'shortcode'
"Kich hoat lai tai khoan 789Bet va nhan 188k mien phi. Truy cap: 789bet.c0m",1,1,0,'personal_number'
"789BET: Ban co tin nhan chua doc tu CSKH. Xem tai: 789bet-vI p.net",1,1,0,'brandname'
"[789BET] Rut tien thanh cong 5.000.000d. Neu khong phai ban, nhan vao 789bet.c0m de huy.",1,1,0,'brandname'
"T0ng dai 789BET: Tang ngay 50k khi tai app tai 789bet.app.vI p. Choi ngay trung lon!",1,1,0,'shortcode'
"Co hoi duy nhat nhan iPhone 15 Pro Max tu 789BET. Click: 789bet.c0m/qua-tang",1,1,0,'personal_number'
"789BET: Tk cua ban duoc chon nhan goi qua 1.888k. Dang nhap: 789bet.vI p de lay ma.",1,1,0,'brandname'
"Canh bao: Phat hien gian lan tai s0 keo 789Bet. Vui long lien he 0901234567 hoac 789bet.c0m",1,1,1,'brandname'
"Chuc mung sdt 0912xxx888 nhan code 200k tu 789BET. Truy cap 789bet.t0p de kich hoat.",1,1,1,'personal_number'
"[789-BET] Thong bao bao tri hoan tat. Tang 10% gia tri nap cho ai vao link 789bet.cIub",1,1,0,'brandname'
"Ban co 1 phieu giam gia 50% nap vao 789BET. Su dung ngay tai: 789bet.vI p",1,1,0,'shortcode'
"789BET: Xac nhan thong tin ngan hang de rut tien. Truỵ cap: 789bet.c0m/bank",1,1,0,'brandname'
"Len doi cung 789BET. Cuoc 1 duoc 100. Dang ky: 789bet.vI p. Sdt ho tro: 0332112233",1,1,1,'personal_number'
"789BET_TB: Quy khach co khoan vay tin dung 10tr tai game. vao 789bet.c0m de kiem tra.",1,1,0,'brandname'
"Tang 100% cho lan nap dau tai 789BET. Link duy nhat: 789bet-vn.vI p. Nhanh tay!",1,1,0,'shortcode'
"[789BET] Tai khoan cua ban dang bi tam khoa. Click 789bet.c0m de mo khoa ngay lap tuc.",1,1,0,'brandname'
"Moi ban tham gia nhom keo 789BET ti le thang 99%. vao link: 789bet.vI p/zalo",1,1,0,'personal_number'
"789BET: Tri an khach hang lau nam, tang ngay 200k vao tk. vao 789bet.t0p nhan qua.",1,1,0,'brandname'
"Thong bao khan tu 789BET: Cap nhat lai thong tin ca nhan tai 789bet.c0m de bao mat.",1,1,0,'shortcode'
"789BET-Khuyen mai khung: Nap 50k tang 50k. Chi ap dung tai link 789bet.vI p",1,1,0,'brandname'
"Ban da duoc them vao danh sach nhan qua 789BET. Nh4n tai: 789bet.c0m/km",1,1,0,'personal_number'
"[789BET] Yeu cau rut 15.000.000d dang bi loi. Vui long vao 789bet.vI p de xu ly.",1,1,0,'brandname'
"789BET: Chuc mung ban thang hu 120.000.000d. Rut tien ngay tai 789bet.c0m",1,1,0,'brandname'
"C0de tan thu 789BET: 789BET888. Nhap tai link 789bet.vI p de lay 88k free.",1,1,0,'shortcode'
"789BET thong bao: Nang cap he thong, vui long dang nhap lai tai 789bet.t0p de tranh mat data.",1,1,0,'brandname'
"Sieu hu no 789BET. Dang ky nhan ngay 100k trai nghiem: 789bet.c0m. LH: 0988776655",1,1,1,'personal_number'
"[789BET] Qua tang sinh nhat 500k cho ban. Nhan tai link: 789bet.vI p/sn",1,1,0,'brandname'
"789BET: Canh bao tk bi xam nhap. Vui long khoa tam thoi tai 789bet.c0m/security",1,1,0,'brandname'
"[A-M-4-Z-0-N] Ch-u-c m-u-n-g b-4-n d-u-o-c t-u-y-3-n. L-u-o-n-g 500k-2tr/n-g-4-y. K-3-t b-4-n Z-4-l-0 0921445566 n-h-4-n v-1-e-c n-g-4-y!",1,0,1,personal_number
"T.h.0.n.g b.4.o: A.m.4.z.0.n J.0.b d.4.n.g t.u.y.3.n n.h.4.n v.1.3.n c.0.n.g t.4.c v.1.e.n. L.u.o.n.g t.h.4.n.h t.0.4.n t.h.e.o n.g.4.y. L.1.n.k: bit.ly/amz-vn2024",1,1,0,brandname
